player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
jordan-barton,Jordan Barton,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,4.0,3.0,1.0,10.0,,,,,,,,
justin-youmes,Justin Youmes,OL,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7.0,3.0,,10.0,0.0,19.0,,,,,,3.3,22.0,6.0,1.0,20.0,,,0.0,1.0,,,,
kevin-voyles,KEVIN VOYLES,RB,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,6.3,15.0,1.0,38.0,6.0,,,,,,,,,,,,,
keith-wright-jr,Keith Wright Jr,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,6.0,,,,
kendrick-washington,Kendrick Washington,DL/OL/DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
kevin-simmons,Kevin Simmons,DB,,,,,,,,,,,,,,,,2.0,,,,,,,13.0,17.0,0.0,26.0,,,,,,,15.2,37.0,1.0,91.0,6.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,
kevin-wade,Kevin Wade,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,5.0,,,,
kyle-griswould,Kyle Griswould,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
lakedrick-holmes,Lakedrick Holmes,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,0.0,,
levonta-hall,Levonta Hall,DB,2.0,,,,,,,,,,,,,,,1.0,,,,,,,14.0,14.0,0.0,14.0,,,1.0,,,,,,,,,,,,,,,,2.0,4.0,0.5,0.0,,
michael-arceneaux,Michael Arceneaux,WR,0.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,
mykell-yancie,Mykell Yancie,DL,5.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,6.0,0.5,0.0,,
quantaye-battle,Quantaye Battle,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.0,0.0,24.0,3.0,,,,,,,,,,,,,
quinton-williams,Quinton Williams,WR,0.0,,,,,,,,,1.0,1.0,,,,,2.0,,,,,,,7.0,14.0,0.0,14.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
scott-roche,Scott Roche,K,0.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
shaquez-bond,Shaquez Bond,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,5.0,7.0,1.0,18.0,,,,,,,,
tairiq-stewart,Tairiq Stewart,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,0.0,4.0,1.0,,,,,,,,,,,,,
timothy-shannon-jr,Timothy Shannon Jr.,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,
tyalen-shaw,Tyalen Shaw,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,0.0,4.0,1.0,,,,,,,,,,,,,
vincent-espinoza,Vincent Espinoza,QB,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,32.0,17.0,,37.0,2.0,182.0,,,,,,0.5,1.0,2.0,1.0,1.0,,,,,,,,
willie-caviness,Willie Caviness,K,1.0,1.0,0.0,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
zachariah-trujillo,Zachariah Trujillo,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,0.0,5.0,1.0,11.0,21.0,2.0,0.0,22.0,,,,,,,,
