player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
deandre-churchill,Deandre Churchill,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
demry-croft,Demry Croft,QB,,,,,,,1.0,1.0,,,,,4.0,,,,,,,3.0,19.0,0.0,12.0,,,,,,,5.7,13.0,0.0,17.0,3.0,2.5,8.0,13.0,1.0,32.0,,,,,,
dontrell-lucky-morrison,"Dontrell ""Lucky"" Morrison",DL,4.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,5.0,0.5,0.0,,
draylen-ellis,Draylen Ellis,QB,,,,,,,,,,,,,3.0,,,,,,,15.0,25.0,0.0,45.0,,,,,,,,,,,,,,,,,,,,,,
horatio-smith,Horatio Smith,WR,,,,,,,,,,,,0.0,,,,,,,,,,,,4.0,2.0,,4.0,1.0,7.0,,,,,,0.5,3.0,8.0,2.0,4.0,,,,,,
jalal-dean,Jalal Dean,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,29.0,1.0,38.0,3.0,6.0,6.0,1.0,0.0,6.0,,,,,,
james-riddle,James Riddle,LB,,,,,,,,,,,,,1.0,,,,,,,20.0,20.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,
jan-bogdan,Jan Bogdan,K,,,,4.0,19.0,2.0,,,,,,,,12.0,42.1,0.0,2.0,295.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0
john-williams,John Williams,WR,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,
juwan-johnson,Juwan Johnson,TE,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
labarron-mallory,Labarron Mallory,DB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,,
maleek-jones,Maleek Jones,WR,0.0,,,,,,,,,,,3.0,,,,,,,,,,,,17.0,10.0,,25.0,3.0,106.0,,,,,,4.3,10.0,6.0,0.0,26.0,1.0,1.0,,,,
marvin-taylor,Marvin Taylor,,0.0,1.0,0.0,,,,,,21.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
michael-moton,Michael Moton,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
myran-mounds,Myran Mounds,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,16.0,2.0,36.0,5.0,3.7,4.0,3.0,1.0,11.0,,,,,,
nathan-rosario-santos,Nathan Rosario Santos,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,,,,
noah-bodden,Noah Bodden,,,,,,,,,,,,,0.0,,,,,,,,,,,,14.0,5.0,,29.0,1.0,60.0,,,,,,0.7,3.0,6.0,1.0,4.0,,,,,,
ravonte-blowe,Ravonte Blowe,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,0.5,0.0,,
ryan-nixon,Ryan Nixon,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,
shay-roberts,Shay Roberts,OL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,3.0,3.0,0.0,3.0,1.0,,,,,,1.0,4.0,1.0,0.0,,
shyron-rodgers,Shyron Rodgers,OL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,0.0,,,,
steven-newbold-jr,"Steven Newbold, Jr.",,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
steven-parker,Steven Parker,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,1.5,0.0,,
tj-davis,TJ DAVIS,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,25.0,1.0,52.0,3.0,,,,,,,,,,,
tremon-brewer,Tremon Brewer,ATH,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,27.0,9.0,2.0,56.0,1.0,1.0,,,,
wesley-jones,Wesley Jones,QB,3.0,1.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,,,
zachary-fondal,Zachary Fondal,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,0.0,15.0,1.0,,,,,,,,,,,
zackary-ninekirk,Zackary Ninekirk,DE,1.0,,,,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,1.0,,,,
