player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
john-westor,John Westor,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,0.5,0.0,,
joseph-taylor,Joseph Taylor,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,6.0,7.0,3.0,9.0,,,,,,
justin-gilbert,Justin Gilbert,DB,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,,,,
kenttwon-brown,Kenttwon Brown,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,9.0,2.0,16.0,3.0,,,,,,,,,,,
kimo-naehu,Kimo Naehu,K,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,0.0,,
kyle-griswould,Kyle Griswould,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,,,
ladarius-galloway,LaDarius Galloway,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,30.0,2.0,101.0,7.0,,,,,,,,,,,
letrell-golden,Letrell Golden,OL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
lorenzo-thompson,Lorenzo Thompson,OT/WR,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,1.0,0.0,,
marcus-gray,MARCUS GRAY,G,,,,1.0,0.0,0.0,,,,,,4.0,35.4,0.0,0.0,283.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0
noa-purcell,Noa Purcell,LB,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,2.0,1.0,0.0,,
prince-shonola,Prince Shonola,WR,,,,,,,,,,,1.0,,,,,,,13.0,13.0,0.0,13.0,,,,,,,,,,,,2.0,4.0,4.0,0.0,8.0,,,,,,
raphael-turner,Raphael Turner,OL,6.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,7.0,13.0,0.5,0.0,,
rysan-richardson,Rysan Richardson,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,11.0,0.0,40.0,6.0,3.5,9.0,8.0,1.0,28.0,,,,,,
stephen-nagbe-jr,Stephen Nagbe Jr,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,1.0,12.0,1.0,2.0,2.0,1.0,0.0,2.0,,,,,,
terrence-jackson,Terrence Jackson,DB,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,5.0,9.0,0.5,0.0,,
tyler-cassel,Tyler Cassel,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,9.0,9.0,1.0,0.0,9.0,1.0,1.0,,,,
zach-hannibel,Zach Hannibel,,3.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,3.0,6.0,,,,
