player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
jeffery-mack-ii,Jeffery Mack II,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,
joenez-coleman,Joenez Coleman,OL,,,,,,,,,,1.0,,,,,,,,,,,,16.0,8.0,,21.0,1.0,68.0,,,,,,3.1,25.0,7.0,1.0,22.0,,,,,,,,
john-williams,John Williams,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,0.0,12.0,1.0,0.5,3.0,4.0,1.0,2.0,,,,,,,,
josiah-silver,Josiah Silver,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
justin-youmes,Justin Youmes,OL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,8.0,0.0,11.0,2.0,0.0,0.0,1.0,0.0,0.0,,,3.0,3.0,,,,
jyaire-stevens,Jyaire Stevens,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
kam-prewitt,Kam Prewitt,DB,,,,2.0,28.0,1.0,,,,,,8.0,47.2,0.0,0.0,283.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0
kavon-samuels,Kavon Samuels,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
kedarius-davis,KeDarius Davis,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,0.0,8.0,1.0,,,,,,,,,,,,,
korrell-koehlmoos,Korrell Koehlmoos,WR,0.0,,,,,,,,,,5.0,,,,,,,13.4,23.0,0.0,67.0,,,,,,,11.3,25.0,1.0,45.0,4.0,6.0,6.0,1.0,0.0,6.0,,,1.0,1.0,1.0,0.0,,
kye-black,Kye Black,LB,0.0,,,2.0,26.0,1.0,,,,,,8.0,50.0,0.0,2.0,350.0,7.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,5.0,5.0
kyle-meyers,Kyle Meyers,DB,,,,,,,,,,0.0,,,,,,,,,,,,2.0,1.0,,11.0,1.0,11.0,16.0,21.0,2.0,32.0,2.0,,,,,,,,,,,,,
ladon-hudson,Ladon Hudson,LB,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,3.0,,,,
lorenzo-brown,Lorenzo Brown,QB,,,,,,,,,,2.0,,,,,,,,,,,,21.0,9.0,,41.0,2.0,135.0,,,,,,3.6,23.0,13.0,0.0,47.0,,,,,,,,
ralph-green,Ralph Green,DL,2.0,1.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,6.0,,,,
rashad-ridley,Rashad Ridley,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,2.0,4.0,4.0,2.0,0.0,,
rashaud-powell,Rashaud Powell,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,2.0,0.0,,
shaquan-curenton,Shaquan Curenton,,,,,,,,,,,,1.0,,,,,,,35.0,35.0,0.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,
tirri-jones,Tirri Jones,QB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,5.0,8.0,3.0,0.0,,
traevan-john,Traevan John,LB,0.0,1.0,0.0,,,,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
traveon-samuel,Traveon Samuel,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,0.0,6.0,,,,,,,,
trey-dudley-giles,Trey Dudley-Giles,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,14.0,0.0,41.0,3.0,3.0,3.0,1.0,1.0,3.0,,,,,,,,
tyler-clark,Tyler Clark,DL/DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,19.0,0.0,31.0,3.0,,,,,,,,,,,,,
