player_id,player_name,positions,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
hakeem-johnson,Hakeem Johnson,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jacob-scarfone,Jacob Scarfone,WR,,,,,,,,,,,,,1.0,2.0,1.0,,7.0,,,,,,,,,1.0,6.0,1.0,,,,,,
jake-harty,Jake Harty,WR,,,,,,,,,,,,9.0,3.0,3.0,,9.0,18.0,,,,,,,,,,,,,,,,,
james-butler,James BUTLER,RB,,,,,,,,,,,,,,,,,,,,,,,4.0,8.0,18.0,,,,,,,,,
jeremy-clark,Jeremy Clark,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jevon-cottoy,Jevon COTTOY,WR,,,,,,,,,,,,10.0,3.0,3.0,,10.0,26.0,,,,,,,,,,,,,,,,,
jordan-williams,Jordan Williams,OT/WR/DE/LB/DL/MLB,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
josh-woods,Josh Woods,LB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaare-vedvik,Kaare Vedvik,K/P,,,,,,,,,,,,,,,,,,65.0,3.0,2.0,36.0,183.0,,,,,,,,,,,,
keon-hatcher,Keon HATCHER,WR,,,,,,,,,,,,13.0,2.0,6.0,,7.0,24.0,,,,,,,,,,,,,,,,,
kian-schaffer-baker,Kian SCHAFFER-BAKER,WR,,,,,,,,,,,,,5.0,6.0,1.0,81.0,170.0,,,,,,,,,1.0,6.0,1.0,,,,,,
kyran-moore,Kyran Moore,WR,,,,,,,,,,,,20.0,3.0,5.0,,14.0,35.0,10.0,2.0,,,20.0,2.0,1.0,-3.0,,,,,,,,,
larry-dean,Larry Dean,LB,1.0,8.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loucheiz-purifoy,Loucheiz Purifoy,DB,,7.0,7.0,,,,,,,,,,,,,,,19.0,2.0,,,36.0,,,,,,,,,,,,
lucky-whitehead,Lucky Whitehead,WR,,,,,,,,,,,,28.0,3.0,7.0,,13.0,48.0,,,,,,,,,,,,,,,,,
manny-rugamba,Manny Rugamba,LB,1.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marcus-sayles,Marcus Sayles,DB,,6.0,6.0,,,,,,,,,,,,,,,15.0,6.0,,,40.0,,,,,,,,,,,,
mario-alford,Mario ALFORD,WR,,,,,,,,,,,,,,,,,,24.0,1.0,,,24.0,,,,,,,,,,,,
mathieu-betts,Mathieu Betts,DL/DB/DE,2.0,4.0,4.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michael-oconnor,Michael O'Connor,QB,,,,,15.0,6.0,28.0,9.0,1.0,,94.0,,,,,,,,,,,,,,,,,,,,,,,
mike-edem,Mike Edem,S/DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miles-brown,Miles Brown,DL/DT/DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nathan-cherry,Nathan Cherry,DL/DT/DB,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
obum-gwacham,Obum Gwacham,DB/DE,1.0,2.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pete-robertson,Pete Robertson,DL/DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolan-milligan,Rolan Milligan,DB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samuel-emilus,Samuel Emilus,WR,,,,,,,,,,,,9.0,2.0,3.0,,10.0,18.0,,,,,,,,,,,,,,,,,
sean-whyte,Sean WHYTE,K,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,3.0,3.0,42.0,10.0,1.0,1.0
sione-teuhema,Sione Teuhema,DL/DT/DB,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stefan-flintoft,Stefan Flintoft,K/P,,,,,,,,,,,,,,,,,,60.0,2.0,2.0,48.0,120.0,,,,,,,,,,,,
tj-lee,T.J. Lee,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tevin-jones,Tevin JONES,WR,,,,,,,,,,,,,3.0,3.0,1.0,11.0,50.0,,,,,,,,,1.0,6.0,1.0,,,,,,
tibo-debaillie,Tibo Debaillie,DL/DB,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
