game_id,date,season,week,league,away,home,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_rec,recv_tar,recv_td,recv_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_9_10_SSK@WPG,2016-09-10,2016,1,CFL,SSK,WPG,31.0,21.0,,50.0,,,,247.0,,,,,5.0,15.0,2.0,20.0,,12.0,2.0,2.0
FOOTBALL_CFL_2016_9_17_TOR@WPG,2016-09-17,2016,1,CFL,TOR,WPG,33.0,24.0,,26.0,4.0,1.0,1.0,232.0,,,,,6.0,9.0,1.0,19.0,,6.0,1.0,1.0
FOOTBALL_CFL_2016_9_24_WPG@CGY,2016-09-24,2016,1,CFL,WPG,CGY,44.0,27.0,1.0,40.0,14.0,2.0,2.0,287.0,,,,,3.0,3.0,1.0,5.0,,6.0,1.0,1.0
FOOTBALL_CFL_2016_9_30_EDM@WPG,2016-09-30,2016,1,CFL,EDM,WPG,41.0,26.0,1.0,,5.0,1.0,2.0,330.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_9_4_WPG@SSK,2016-09-04,2016,1,CFL,WPG,SSK,39.0,27.0,,,10.0,2.0,1.0,341.0,,,,,,,,,,,,
FOOTBALL_CFL_2017_10_14_BC@WPG,2017-10-14,2017,1,CFL,BC,WPG,30.0,23.0,,20.0,15.0,2.0,,172.0,,,,,1.0,3.0,,3.0,,,,
FOOTBALL_CFL_2017_10_21_WPG@TOR,2017-10-21,2017,1,CFL,WPG,TOR,33.0,25.0,,43.0,,,1.0,268.0,,,,,1.0,1.0,,1.0,,,,
FOOTBALL_CFL_2017_10_28_BC@WPG,2017-10-28,2017,1,CFL,BC,WPG,7.0,3.0,,18.0,,,,30.0,,,,,,,,,,,,
FOOTBALL_CFL_2017_10_6_HAM@WPG,2017-10-06,2017,1,CFL,HAM,WPG,18.0,14.0,1.0,26.0,6.0,3.0,1.0,158.0,,,,,1.0,1.0,,1.0,,,,
FOOTBALL_CFL_2017_11_12_EDM@WPG,2017-11-12,2017,1,CFL,EDM,WPG,48.0,35.0,,38.0,8.0,1.0,3.0,371.0,,,,,2.0,6.0,,8.0,,,,
FOOTBALL_CFL_2017_7_13_TOR@WPG,2017-07-13,2017,1,CFL,TOR,WPG,36.0,20.0,,39.0,,,,228.0,,,,,1.0,2.0,,2.0,,,,
FOOTBALL_CFL_2017_7_1_WPG@SSK,2017-07-01,2017,1,CFL,WPG,SSK,36.0,23.0,1.0,,35.0,4.0,4.0,331.0,,,,,2.0,6.0,,9.0,,,,
FOOTBALL_CFL_2017_7_21_WPG@BC,2017-07-21,2017,1,CFL,WPG,BC,36.0,28.0,1.0,51.0,13.0,3.0,3.0,254.0,,,,,3.0,,1.0,21.0,,6.0,1.0,1.0
FOOTBALL_CFL_2017_7_27_MTL@WPG,2017-07-27,2017,1,CFL,MTL,WPG,43.0,34.0,,43.0,21.0,3.0,2.0,358.0,,,,,2.0,15.0,,22.0,,,,
FOOTBALL_CFL_2017_7_7_CGY@WPG,2017-07-07,2017,1,CFL,CGY,WPG,40.0,27.0,2.0,,13.0,3.0,1.0,267.0,,,,,2.0,5.0,,6.0,,,,
FOOTBALL_CFL_2017_8_12_WPG@HAM,2017-08-12,2017,1,CFL,WPG,HAM,35.0,25.0,,,6.0,2.0,2.0,267.0,,,,,,,,,,,,
FOOTBALL_CFL_2017_8_17_EDM@WPG,2017-08-17,2017,1,CFL,EDM,WPG,40.0,32.0,,35.0,18.0,2.0,1.0,390.0,,,,,3.0,16.0,1.0,23.0,,6.0,1.0,1.0
FOOTBALL_CFL_2017_8_24_WPG@MTL,2017-08-24,2017,1,CFL,WPG,MTL,38.0,26.0,1.0,44.0,14.0,2.0,3.0,227.0,,,,,3.0,18.0,,32.0,,,,
FOOTBALL_CFL_2017_8_4_WPG@OTT,2017-08-04,2017,1,CFL,WPG,OTT,38.0,25.0,,,19.0,3.0,1.0,319.0,,,,,2.0,8.0,,9.0,,,,
FOOTBALL_CFL_2017_9_22_OTT@WPG,2017-09-22,2017,1,CFL,OTT,WPG,33.0,23.0,,,3.0,1.0,2.0,319.0,,,,,1.0,,,,,,,
FOOTBALL_CFL_2017_9_30_WPG@EDM,2017-09-30,2017,1,CFL,WPG,EDM,32.0,24.0,,32.0,1.0,1.0,2.0,238.0,,,,,2.0,6.0,,6.0,,,,
FOOTBALL_CFL_2017_9_3_WPG@SSK,2017-09-03,2017,1,CFL,WPG,SSK,47.0,35.0,2.0,31.0,1.0,1.0,2.0,364.0,,,,,,,,,,,,
FOOTBALL_CFL_2017_9_9_SSK@WPG,2017-09-09,2017,1,CFL,SSK,WPG,37.0,24.0,,,9.0,1.0,3.0,282.0,,,,,2.0,41.0,,53.0,,,,
