game_id,date,season,week,league,away,home,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,score_pts,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
FOOTBALL_CFL_2018_7_20_BC@OTT,2018-07-20,2018,1,CFL,BC,OTT,79.0,5.0,5.0,146.0,,359.0,1.0,5.0,1.0,1.0,19.0,5.0,2.0,2.0
FOOTBALL_CFL_2018_7_7_BC@WPG,2018-07-07,2018,1,CFL,BC,WPG,81.0,4.0,4.0,75.0,,241.0,,7.0,2.0,2.0,42.0,7.0,1.0,1.0
FOOTBALL_CFL_2018_8_18_BC@TOR,2018-08-18,2018,1,CFL,BC,TOR,72.0,3.0,3.0,93.0,,203.0,,11.0,3.0,3.0,46.0,11.0,2.0,2.0
FOOTBALL_CFL_2018_8_25_SSK@BC,2018-08-25,2018,1,CFL,SSK,BC,68.0,2.0,2.0,43.0,,133.0,,15.0,5.0,5.0,48.0,15.0,,
FOOTBALL_CFL_2018_8_4_BC@CGY,2018-08-04,2018,1,CFL,BC,CGY,89.0,4.0,3.0,64.0,,292.0,,6.0,1.0,1.0,40.0,5.0,2.0,2.0
FOOTBALL_CFL_2018_8_9_EDM@BC,2018-08-09,2018,1,CFL,EDM,BC,74.0,4.0,4.0,104.0,,262.0,,13.0,3.0,3.0,51.0,11.0,2.0,2.0
FOOTBALL_CFL_2018_9_14_BC@MTL,2018-09-14,2018,1,CFL,BC,MTL,68.0,4.0,4.0,110.0,,260.0,,12.0,3.0,3.0,45.0,12.0,3.0,3.0
FOOTBALL_CFL_2018_9_22_HAM@BC,2018-09-22,2018,1,CFL,HAM,BC,66.0,3.0,3.0,61.0,,193.0,,13.0,4.0,4.0,51.0,13.0,1.0,1.0
FOOTBALL_CFL_2018_9_29_BC@HAM,2018-09-29,2018,1,CFL,BC,HAM,69.0,2.0,2.0,24.0,,125.0,,4.0,1.0,1.0,29.0,3.0,,
FOOTBALL_CFL_2018_9_7_OTT@BC,2018-09-07,2018,1,CFL,OTT,BC,70.0,6.0,6.0,135.0,,370.0,,8.0,2.0,2.0,37.0,8.0,2.0,2.0
