game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,score_p,score_pts,score_tot
SYNTHETIC_CFL_2022_W6_WPG,2022-07-15,2022,6,CFL,CGY,WPG,,,0.0,40.0,3.0,,,,,,,,,
SYNTHETIC_CFL_2022_W7_WPG,2022-07-22,2022,7,CFL,WPG,EDM,,,0.0,5.0,1.0,,,,,,,,,
SYNTHETIC_CFL_2022_W8_WPG,2022-07-30,2022,8,CFL,WPG,CGY,,,0.0,46.0,3.0,,,,,,,,,
SYNTHETIC_CFL_2022_W9_WPG,2022-08-04,2022,9,CFL,WPG,MTL,,,0.0,90.0,5.0,,,,,,,,,
SYNTHETIC_CFL_2022_W10_WPG,2022-08-11,2022,10,CFL,MTL,WPG,,,0.0,51.0,4.0,,,,,,,,,
SYNTHETIC_CFL_2022_W12_WPG,2022-08-25,2022,12,CFL,CGY,WPG,,,0.0,23.0,2.0,,,,,,,,,
SYNTHETIC_CFL_2022_W13_WPG,2022-09-04,2022,13,CFL,WPG,SSK,,,0.0,56.0,4.0,,,,,,,,,
SYNTHETIC_CFL_2023_W1_WPG,2023-06-09,2023,1,CFL,HAM,WPG,,,1.0,57.0,3.0,,,,,,,,,
SYNTHETIC_CFL_2023_W2_WPG,2023-06-16,2023,2,CFL,WPG,SSK,,,1.0,66.0,5.0,,,,,,,,,
SYNTHETIC_CFL_2023_W3_WPG,2023-06-22,2023,3,CFL,BC,WPG,,,0.0,35.0,3.0,,,,,,,,,
SYNTHETIC_CFL_2023_W4_WPG,2023-07-01,2023,4,CFL,WPG,MTL,,,1.0,29.0,3.0,,,,,,,,,
SYNTHETIC_CFL_2023_W5_WPG,2023-07-07,2023,5,CFL,CGY,WPG,,,0.0,22.0,3.0,,,,,,,,,
SYNTHETIC_CFL_2023_W6_WPG,2023-07-15,2023,6,CFL,WPG,OTT,,,1.0,70.0,4.0,,,,,,,,,
SYNTHETIC_CFL_2023_W7_WPG,2023-07-20,2023,7,CFL,EDM,WPG,,,0.0,13.0,1.0,,,,,,,,,
SYNTHETIC_CFL_2023_W9_WPG,2023-08-03,2023,9,CFL,BC,WPG,,,0.0,41.0,3.0,,,,,,,,,
SYNTHETIC_CFL_2023_W10_WPG,2023-08-10,2023,10,CFL,WPG,EDM,,,0.0,14.0,1.0,,,,,,,,,
SYNTHETIC_CFL_2023_W11_WPG,2023-08-18,2023,11,CFL,WPG,CGY,,,0.0,21.0,2.0,,,,,,,,,
SYNTHETIC_CFL_2023_W12_WPG,2023-08-24,2023,12,CFL,MTL,WPG,,,0.0,11.0,1.0,,,,,,,,,
SYNTHETIC_CFL_2023_W13_WPG,2023-09-03,2023,13,CFL,WPG,SSK,,,1.0,34.0,1.0,,,,,,,,,
SYNTHETIC_CFL_2023_W14_WPG,2023-09-09,2023,14,CFL,SSK,WPG,,,0.0,38.0,2.0,,,,,,,,,
SYNTHETIC_CFL_2023_W15_WPG,2023-09-16,2023,15,CFL,WPG,HAM,,,0.0,21.0,1.0,,,,,,,,,
SYNTHETIC_CFL_2023_W17_WPG,2023-09-29,2023,17,CFL,TOR,WPG,,,0.0,64.0,5.0,,,,,,,,,
SYNTHETIC_CFL_2023_W18_WPG,2023-10-06,2023,18,CFL,WPG,BC,,,1.0,25.0,2.0,,,,,,,,,
SYNTHETIC_CFL_2023_W20_WPG,2023-10-21,2023,20,CFL,EDM,WPG,,,0.0,36.0,2.0,,,,,,,,,
SYNTHETIC_CFL_2023_W21_WPG,2023-10-27,2023,21,CFL,WPG,CGY,,,0.0,71.0,5.0,,,,,,,,,
SYNTHETIC_CFL_2024_W1_WPG,2024-05-20,2024,1,CFL,WPG,SSK,,,0.0,33.0,2.0,,,,,,,,,
SYNTHETIC_CFL_2024_W2_WPG,2024-06-13,2024,2,CFL,WPG,OTT,,,0.0,46.0,3.0,,,,,,,,,
SYNTHETIC_CFL_2024_W3_WPG,2024-06-21,2024,3,CFL,BC,WPG,,,0.0,72.0,7.0,,,,,,,,,
SYNTHETIC_CFL_2024_W4_WPG,2024-06-29,2024,4,CFL,WPG,CGY,,,1.0,43.0,4.0,,,,,,,,,
SYNTHETIC_CFL_2024_W5_WPG,2024-07-05,2024,5,CFL,OTT,WPG,,,0.0,17.0,1.0,,,,,,,,,
SYNTHETIC_CFL_2024_W6_WPG,2024-07-12,2024,6,CFL,CGY,WPG,,,0.0,61.0,5.0,,,,,,,,,
SYNTHETIC_CFL_2024_W7_WPG,2024-07-19,2024,7,CFL,WPG,SSK,,,0.0,29.0,2.0,,,,,,,,,
SYNTHETIC_CFL_2024_W8_WPG,2024-07-27,2024,8,CFL,WPG,TOR,,,0.0,25.0,2.0,,,,,,,,,
SYNTHETIC_CFL_2024_W13_WPG,2024-09-01,2024,13,CFL,WPG,SSK,,,0.0,48.0,4.0,,,,,,,,,
SYNTHETIC_CFL_2024_W14_WPG,2024-09-07,2024,14,CFL,SSK,WPG,,,0.0,29.0,3.0,,,,,,,,,
