game_id,date,season,week,league,away,home,interceptions_made,points_against,sacks
SYNTHETIC_CFL_2023_W16_CGY,2023-09-23,2023,16,CFL,MTL,CGY,,28.0,0.0
SYNTHETIC_CFL_2023_W17_CGY,2023-09-30,2023,17,CFL,CGY,HAM,,22.0,2.0
SYNTHETIC_CFL_2023_W19_CGY,2023-10-13,2023,19,CFL,SSK,CGY,,19.0,2.0
SYNTHETIC_CFL_2023_W20_CGY,2023-10-20,2023,20,CFL,CGY,BC,,16.0,4.0
SYNTHETIC_CFL_2023_W21_CGY,2023-10-27,2023,21,CFL,WPG,CGY,,36.0,1.0
SYNTHETIC_CFL_2024_W1_CGY,2024-06-07,2024,1,CFL,HAM,CGY,0.0,26.0,0.0
SYNTHETIC_CFL_2024_W2_CGY,2024-05-25,2024,2,CFL,BC,CGY,2.0,19.0,2.0
SYNTHETIC_CFL_2024_W3_CGY,,2024,3,CFL,,,0.0,20.0,1.0
SYNTHETIC_CFL_2024_W4_CGY,2024-06-29,2024,4,CFL,WPG,CGY,2.0,19.0,1.0
SYNTHETIC_CFL_2024_W5_CGY,2024-07-06,2024,5,CFL,CGY,MTL,2.0,16.0,0.0
SYNTHETIC_CFL_2024_W6_CGY,2024-07-12,2024,6,CFL,CGY,WPG,0.0,10.0,3.0
SYNTHETIC_CFL_2024_W7_CGY,2024-07-21,2024,7,CFL,BC,CGY,4.0,20.0,3.0
SYNTHETIC_CFL_2024_W8_CGY,2024-07-26,2024,8,CFL,CGY,OTT,1.0,23.0,1.0
SYNTHETIC_CFL_2024_W9_CGY,2024-08-04,2024,9,CFL,TOR,CGY,1.0,31.0,2.0
SYNTHETIC_CFL_2024_W10_CGY,2024-08-09,2024,10,CFL,CGY,TOR,0.0,27.0,4.0
SYNTHETIC_CFL_2024_W11_CGY,2024-08-15,2024,11,CFL,OTT,CGY,0.0,31.0,2.0
SYNTHETIC_CFL_2024_W12_CGY,,2024,12,CFL,,,2.0,15.0,4.0
SYNTHETIC_CFL_2024_W13_CGY,2024-09-02,2024,13,CFL,EDM,CGY,0.0,7.0,4.0
SYNTHETIC_CFL_2024_W14_CGY,2024-09-07,2024,14,CFL,CGY,EDM,0.0,31.0,2.0
SYNTHETIC_CFL_2024_W15_CGY,2024-09-14,2024,15,CFL,MTL,CGY,0.0,19.0,3.0
SYNTHETIC_CFL_2024_W16_CGY,2024-09-20,2024,16,CFL,SSK,CGY,0.0,52.0,0.0
SYNTHETIC_CFL_2024_W17_CGY,,2024,17,CFL,,,0.0,38.0,0.0
SYNTHETIC_CFL_2024_W18_CGY,2024-10-04,2024,18,CFL,CGY,BC,2.0,38.0,3.0
SYNTHETIC_CFL_2024_W19_CGY,2024-10-12,2024,19,CFL,EDM,CGY,2.0,20.0,4.0
SYNTHETIC_CFL_2024_W20_CGY,2024-10-18,2024,20,CFL,CGY,HAM,2.0,13.0,4.0
SYNTHETIC_CFL_2024_W21_CGY,2024-10-26,2024,21,CFL,CGY,SSK,1.0,10.0,3.0
SYNTHETIC_CFL_2025_W1_CGY,2025-06-07,2025,1,CFL,HAM,CGY,,26.0,
SYNTHETIC_CFL_2025_W2_CGY,2025-06-14,2025,2,CFL,CGY,TOR,2.0,19.0,2.0
SYNTHETIC_CFL_2025_W3_CGY,2025-06-21,2025,3,CFL,OTT,CGY,,20.0,1.0
SYNTHETIC_CFL_2025_W5_CGY,2025-07-03,2025,5,CFL,WPG,CGY,2.0,16.0,
SYNTHETIC_CFL_2025_W6_CGY,2025-07-11,2025,6,CFL,CGY,SSK,,10.0,3.0
SYNTHETIC_CFL_2025_W7_CGY,2025-07-18,2025,7,CFL,CGY,WPG,4.0,20.0,3.0
SYNTHETIC_CFL_2025_W8_CGY,2025-07-24,2025,8,CFL,MTL,CGY,1.0,23.0,1.0
SYNTHETIC_CFL_2025_W9_CGY,2025-07-31,2025,9,CFL,CGY,OTT,1.0,31.0,2.0
SYNTHETIC_CFL_2025_W10_CGY,2025-08-09,2025,10,CFL,WPG,CGY,,27.0,4.0
SYNTHETIC_CFL_2025_W12_CGY,2025-08-23,2025,12,CFL,SSK,CGY,2.0,15.0,4.0
SYNTHETIC_CFL_2025_W13_CGY,2025-09-01,2025,13,CFL,EDM,CGY,,7.0,4.0
SYNTHETIC_CFL_2025_W14_CGY,2025-09-06,2025,14,CFL,CGY,EDM,,31.0,2.0
SYNTHETIC_CFL_2025_W16_CGY,2025-09-19,2025,16,CFL,BC,CGY,,52.0,
SYNTHETIC_CFL_2025_W17_CGY,2025-09-26,2025,17,CFL,CGY,MTL,,38.0,
SYNTHETIC_CFL_2025_W18_CGY,2025-10-04,2025,18,CFL,CGY,BC,2.0,38.0,3.0
SYNTHETIC_CFL_2025_W19_CGY,2025-10-11,2025,19,CFL,CGY,HAM,2.0,20.0,4.0
SYNTHETIC_CFL_2025_W20_CGY,2025-10-18,2025,20,CFL,TOR,CGY,2.0,13.0,4.0
SYNTHETIC_CFL_2025_W21_CGY,2025-10-24,2025,21,CFL,CGY,EDM,1.0,10.0,3.0
