game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_conv,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2018_8_18_BC@TOR,2018-08-18,2018,1,CFL,BC,TOR,,,,,,29.0,4.0,6.0,,39.0,49.0,18.0,14.0,,91.0,,,,,,,
FOOTBALL_CFL_2018_8_24_TOR@MTL,2018-08-24,2018,1,CFL,TOR,MTL,,,,,,9.0,6.0,6.0,,28.0,31.0,9.0,6.0,,29.0,,,,,,,
FOOTBALL_CFL_2018_8_2_OTT@TOR,2018-08-02,2018,1,CFL,OTT,TOR,,,,,,,4.0,6.0,1.0,34.0,42.0,17.0,10.0,,73.0,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2018_9_22_SSK@TOR,2018-09-22,2018,1,CFL,SSK,TOR,,,,,,24.0,7.0,8.0,,42.0,74.0,9.0,18.0,,48.0,,,,,,,
FOOTBALL_CFL_2018_9_28_TOR@CGY,2018-09-28,2018,1,CFL,TOR,CGY,,,,,,6.0,4.0,5.0,,16.0,18.0,6.0,12.0,,26.0,,,,,,,
FOOTBALL_CFL_2018_9_3_TOR@HAM,2018-09-03,2018,1,CFL,TOR,HAM,,,,,,19.0,3.0,5.0,,40.0,42.0,11.0,10.0,,47.0,,,,,,,
FOOTBALL_CFL_2018_9_8_HAM@TOR,2018-09-08,2018,1,CFL,HAM,TOR,,,,,,3.0,1.0,1.0,,,3.0,11.0,24.0,,76.0,,,,,,,
FOOTBALL_CFL_2019_10_11_OTT@TOR,2019-10-11,2019,1,CFL,OTT,TOR,,,,,,3.0,3.0,3.0,,3.0,6.0,15.0,13.0,,82.0,,,,,,,
FOOTBALL_CFL_2019_10_18_TOR@MTL,2019-10-18,2019,1,CFL,TOR,MTL,,,,,,7.0,2.0,2.0,,5.0,9.0,6.0,13.0,,39.0,,,,,,,
FOOTBALL_CFL_2019_10_5_TOR@BC,2019-10-05,2019,1,CFL,TOR,BC,,,,,,2.0,1.0,1.0,,,2.0,3.0,13.0,,22.0,,,,,,,
FOOTBALL_CFL_2019_11_2_TOR@HAM,2019-11-02,2019,1,CFL,TOR,HAM,,,,,,9.0,1.0,1.0,,3.0,9.0,4.0,11.0,,20.0,,,,,,,
FOOTBALL_CFL_2019_6_22_HAM@TOR,2019-06-22,2019,1,CFL,HAM,TOR,,,,,,18.0,3.0,4.0,,33.0,33.0,6.0,7.0,,12.0,,,,,,,
FOOTBALL_CFL_2019_7_12_TOR@WPG,2019-07-12,2019,1,CFL,TOR,WPG,,,,,,23.0,5.0,6.0,,38.0,41.0,5.0,11.0,,12.0,,,,,,,
FOOTBALL_CFL_2019_7_18_TOR@CGY,2019-07-18,2019,1,CFL,TOR,CGY,,,,,,22.0,7.0,8.0,1.0,60.0,71.0,11.0,6.0,,44.0,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2019_7_1_TOR@SSK,2019-07-01,2019,1,CFL,TOR,SSK,,,,,,14.0,4.0,7.0,,31.0,39.0,10.0,12.0,,60.0,,,,,,,
FOOTBALL_CFL_2019_7_6_BC@TOR,2019-07-06,2019,1,CFL,BC,TOR,,,,,,24.0,7.0,7.0,1.0,71.0,76.0,6.0,19.0,,33.0,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2019_9_20_CGY@TOR,2019-09-20,2019,1,CFL,CGY,TOR,,,,,,18.0,4.0,5.0,,23.0,35.0,4.0,19.0,,40.0,,,,,,,
FOOTBALL_CFL_2019_9_28_SSK@TOR,2019-09-28,2019,1,CFL,SSK,TOR,,,,,,7.0,2.0,4.0,,8.0,12.0,7.0,18.0,,42.0,,,,,,,
FOOTBALL_CFL_2019_9_2_TOR@HAM,2019-09-02,2019,1,CFL,TOR,HAM,,,,,,13.0,5.0,6.0,,32.0,37.0,7.0,8.0,,16.0,,,,,,,
FOOTBALL_CFL_2019_9_7_TOR@OTT,2019-09-07,2019,1,CFL,TOR,OTT,,,,,,,3.0,4.0,2.0,38.0,45.0,8.0,10.0,1.0,42.0,,,,2.0,18.0,1.0,3.0
SYNTHETIC_CFL_2022_W1_EDM,,2022,1,CFL,,,,,0.0,48.0,4.0,,,,,,,,,,,0.0,39.0,,,,,
SYNTHETIC_CFL_2022_W3_EDM,,2022,3,CFL,,,,,0.0,34.0,4.0,,,,,,,,,,,0.0,45.0,,,,,
